source	target	correlation
Flextronics International	Inventec	0.027018834692206048
Apache	Talisman Energy	0.02280237713229559
JX Holdings	Millicom International	0.023241431708835403
NKSJ Holdings	KB Financial Group	0.0240508570919158
Bankia	Umicore	0.023727136203467884
First Niagara Financial	Hana Financial Group	0.049180411821545915
Sonova Holding	Deutsche Annington Immobilien	0.023342945721010873
DTE Energy	Valero Energy	0.14903453247846765
Fanuc	Fuji Heavy Industries	0.1223982296100788
China Power International Development	Millicom International	0.026292232463457937
China Oilfield Services	China Shipbuilding Industry	0.05317825185225373
Shinsei Bank	China Citic Bank	0.049425894496073805
Asahi Group Holdings	Graham Holdings	0.11954021576204113
Lotte Chemical	Mitsubishi Materials	0.02558180699137161
SinoPac Financial	RMB Holdings	0.0253373407600257
Shanghai Industrial Holdings	Shanghai Construction	0.12869370407349207
Mega Financial Holding	Hanwha Corp	0.02500287759126682
China Railway Group	Citic Pacific	0.10956771366104479
Mitsui & Co	Century Tokyo Leasing	0.02334266339688147
Sun Pharma Industries	Vertex Pharmaceuticals	0.053592507811919675
American Capital Agency	Fosun International	0.025293910092266194
Pentair	Nucor	0.02344843200932732
Synovus Financial	Shinhan Financial Group	0.025635401708043706
Microsoft	Baidu	0.02678614506663572
Formosa Petrochemical	China Railway Construction	0.07172174141001668
Dassault Aviation	EADS	0.11300631005603215
China Cosco Holdings	Hertz Global Holdings	0.050221466049263315
Rexam	Brenntag	0.07339374884955209
Metropolitan Bank & Trust	PNC Financial Services	0.07645559080398895
PTT PCL	Axiata Group	0.025983030088134844
Samsung SDS	Kyocera	0.02518968575061729
Unicharm	Suntory Beverage & Food	0.07489739123666495
Electric Power Development	National Grid	0.04830344250105778
Signature Bank	Fidelity National Financial	0.024836109468715204
T Rowe Price	Pearson	0.2550191697272974
Hyundai Motor	Hyundai Heavy Industries	0.15715035034981092
United Aircraft Corporation	Continental	0.025176013206699446
Merck & Co	International Flavors & Fragrances	0.049605842521224346
Pirelli & C	Legal & General Group	0.02727003720958247
Macquarie Group	Virgin Money Holdings	0.023781014380156246
SinoPac Financial	China Life Insurance	0.025280268609514576
Saudi British Bank	Aviva	0.023770193566897684
Tingyi Holding	China Citic Bank	0.026236368372534683
Marriott International	Edison International	0.11012660069358875
BYD	SAIC Motor	0.09650075957578835
RMB Holdings	Fosun International	0.05523821805331562
Shanghai Pharmaceuticals	Alfresa Holdings	0.024611060750477295
TD Bank Group	Syndicate Bank	0.22832751750791314
Flextronics International	Yara International	0.13284450855748625
Electric Power Development	NextEra Energy	0.02703833537173806
Canadian Tire	TELUS	0.026237264947211063
Industrial Alliance Insurance	Progressive	0.025905151927679396
Michelin Group	Goodman Group	0.049983995436082194
Google	Naver	0.02529172077594716
Eli Lilly & Co	Tiffany & Co.	0.055759978852697574
Sun Art Retail Group	Ping An Insurance Group	0.024668305701674244
NiSource	Oneok	0.15874678500657868
PVH	Hanesbrands	0.10076680342799801
Concho Resources	Hellenic Petroleum	0.02535364441252427
Guosen Securities	Shanghai Commercial & Savings Bank	0.02474750806438646
HDFC Bank	Chiba Bank	0.02369132802601133
HSBC Holdings	E.Sun Financial	0.09876629775441453
Aegon	Genworth Financial	0.027135501242073874
Keyence	Komatsu	0.02300383568614817
Amorepacific	Suntory Beverage & Food	0.024255048883291937
Verizon Communications	Frontier Communications	0.17575208175421286
IDBI Bank	National Commercial Bank	0.023958879697151856
Sumitomo Chemical	Asahi Glass	0.02439289879944305
Airgas	SAP	0.02362825838109567
FBN Holdings	Hanwha Corp	0.024573615194693917
Public Power	China Power International Development	0.027154644908880744
ARM Holdings	GS Holdings	0.11481296211622345
Cathay Financial	United Overseas Bank	0.05266785544924671
Sumitomo Corp	JTEKT	0.049286760598314314
Meritz Financial Group	Arch Capital Group	0.0499794111171502
Mitsui & Co	Hanwa	0.023581475927961205
Public Bank	Fidelity National Financial	0.07629721596426434
China Cosco Holdings	Asahi Group Holdings	0.20889871633939947
Taiwan Cooperative Financial	Oji Holdings	0.023359092834970428
E.ON	Eiffage	0.024464084770177644
Otsuka Holding	IHI	0.024704388783985946
Brightoil Petroleum	Murphy Oil	0.027052480368843296
Iyo Bank	Aozora Bank	0.027032390398164335
Grifols	Eisai	0.024498281613894897
Alpha Bank	Arab National Bank	0.10453235631846096
Signature Bank	Commercial Bank For Investment & Development Of Vietnam	0.02415690672899511
China Merchants Securities	Kiyo Bank	0.02507033253569411
Otsuka Holding	Nippon Steel Trading	0.07703167614701843
BCE	Saputo	0.024612346269377985
Newmont Mining	Norilsk Nickel	0.14978561513889213
Gas Natural Fenosa	Alpiq Holding	0.0248513097096117
Sinopharm Group	Wilmar International	0.05070729389935407
Pepco Holdings	Yamato Holdings	0.060610040898933466
Airgas	Praxair	0.02665751304573552
Xcel Energy	Valero Energy	0.1262793727758321
Rohm	Jarden	0.023968025404061163
Ashikaga Holdings	RMB Holdings	0.09008002468811326
Harbin Bank	Taiwan Business Bank	0.4390655990387578
Asahi Group Holdings	Oriental Land	0.02585131040623105
IOI Group	Axis Capital Holdings	0.02645054274823916
Grupo Carso	CPFL Energia	0.025249405870137208
Everbright Securities	FIBI Holdings	0.02389640971909871
Hilton Worldwide Holdings	Hopson Development Holdings	0.07712003232812883
Aegon	Luxottica Group	0.025502212652861858
Meritz Financial Group	Ping An Insurance Group	0.07501278876118271
Wilmar International	Beijing Xinwei Telecom Technology Group	0.02750794216782153
Eastman Chemical	BASF	0.05033870949705969
Varian Medical Systems	Linear Technology	0.026730143004701102
Axis Bank	BOK Financial	0.02385943819199622
Nippon Telegraph & Tel	Samsung Fire & Marine	0.02418683191403629
China Coal Energy	Daqin Railway	0.02551639443404465
China Power International Development	Yuanta Financial Holding	0.02390204744853813
Zenith Bank	US Bancorp	0.07128282849679837
Johnson & Johnson	Ross Stores	0.024896520936746613
Land Securities Group	Zions Bancorp	0.023597982030589163
Xcel Energy	EP Energy	0.13249136591528052
Melco Crown Entertainment	Agile Property Holdings	0.02516482918543343
China Railway Group	Fosun International	0.22589295492423192
Amadeus IT Holdings	Tata Consultancy Services	0.050878162573582665
Electrolux Group	Volvo Group	0.027056131414977175
Technip	IHI	0.024048157651927846
Corporation Bank	Danske Bank	0.04645530593873173
Aareal Bank	FIBI Holdings	0.023918187509653632
Ningbo Port	Hutchison Whampoa	0.027099447588945152
Mega Financial Holding	Ally Financial	0.10603349277770653
ACE	Ping An Insurance Group	0.024264447744064045
Seven & I Holdings	JM Smucker	0.025787044100636525
Tokyu	Tokyu Fudosan	0.3616454688479022
Land Securities Group	Macquarie Group	0.02457725536866556
Mercuries & Associates	L Brands	0.07593381511221126
Southern Co	China Resources Land	0.023574512216134484
Abu Dhabi Commercial Bank	Savola Group	0.04876079504479003
CIC Group	China Life Insurance	0.024327436780011532
Swatch Group	Compass Group	0.02554132408236072
BOE Technology Group	Metro Group	0.024247294221010855
LG Corp	Alfresa Holdings	0.024934608157801248
Guangzhou Automobile Group Co. Ltd.	Wuhan Iron & Steel	0.02364167454372703
ResMed	Danaher	0.04547903827568247
Ambac Financial Group	Metropolitan Bank & Trust	0.02441878394536261
Lenovo Group	JX Holdings	0.02325454176015349
SanDisk	Infineon Technologies	0.0257814823359398
Kobe Steel	Sumitomo Corp	0.051677456293877086
Signature Bank	Alinma Bank	0.05166730571428057
Chinatrust Financial	Siam Commercial Bank	0.024095822285626425
Oil & Gas Development	Hindustan Petroleum	0.08151287122510678
CF Industries Holdings	Tingyi Holding	0.02526414620326715
Saudi British Bank	Piraeus Bank	0.024590061688945525
Oriental Land	Krung Thai Bank	0.04825764404184767
Imperial Tobacco Group	China Fortune Land Development	0.054595850525383745
Seven & I Holdings	HD Supply Holdings	0.07833458885467197
Thai Oil	Siam Cement	0.12723803016432472
Dai Nippon Printing	Asahi Group Holdings	0.049587129817556135
Komatsu	JGC	0.02403594676061267
Sunac China Holdings	China Everbright Bank	0.050370756443422544
Catlin Group	Lloyds Banking Group	0.04786995124079796
Lotte Chemical	SK Holdings	0.022964629020127938
Intouch Holdings	Smurfit Kappa Group	0.023588043367955544
FBN Holdings	Kingdom Holding	0.023383124341621094
Bank Audi	Arab Bank	0.027449511016526873
World Fuel Services	Commercial Bank For Investment & Development Of Vietnam	0.02464135131578244
Harris	Reynolds American	0.22617083923889064
CGI Group	Voya Financial	0.02510863008772018
Manulife Financial	TELUS	0.022585661334999473
Shinsei Bank	Westpac Banking Group	0.048315891535713876
Shanghai Material Trading	China Aviation Oil	0.09942034811045151
Samsung Electronics	Seiko Epson	0.07839517530870173
CLP Holdings	Axiata Group	0.1000502168787677
First Citizens BancShares	Blom Bank	0.02555817367848005
Empresas CMPC	Tenaris	0.025313187876876416
CVS Health	DaVita	0.02413595107695796
Pearson	Reynolds American	0.10117053451519975
Harris	Taylor Wimpey	0.12848888354490492
Abu Dhabi Islamic Bank	Bank Leumi	0.022791831769697977
Fujifilm Holdings	Sharp	0.025695177074593942
BCV Group	Erste Group Bank	0.0746423244809527
Imperial Tobacco Group	Samba Financial Group	0.07851981320704361
China Construction Bank	China National Chemical	0.047497852353341335
Bangkok Bank	Orient Securities	0.024312578644153007
Industrial Bank	Laurentian Bank	0.07374291375369582
EOG Resources	Husky Energy	0.07271223896768765
Shiga Bank	Tokyu Fudosan	0.02598448093487812
SL Green Realty	Phoenix Group Holdings	0.04865950583005904
Arca Continental	Japan Airlines	0.026919836512393963
SanDisk	Jabil Circuit	0.025637515677498637
CenterPoint Energy	United Utilities	0.04895171682743029
Willis Group Holdings	First Citizens BancShares	0.0235319035507529
Beiersdorf	Lanxess	0.04987415211828056
American International Group	China Fortune Land Development	0.05422996243958221
Nippon Yusen	Ajinomoto	0.15527960739219634
China Communications Services	Guangzhou Automobile Group Co. Ltd.	0.048237676349599565
Zurich Insurance Group	ACE	0.05179056317754397
Saudi Basic Industries	Almarai	0.10615187306422885
Asahi Group Holdings	Nomura Holdings	0.26327122092137173
Permanent TSB Group	JG Summit Holdings	0.026000593768707947
SK Holdings	Nippon Steel & Sumitomo Metal	0.024857432460273055
Meritz Financial Group	China Communications Construction	0.024081095411105126
3M	DSM	0.023950285886111564
Fukuoka Financial Group	Cincinnati Financial	0.02282973249504232
Datang International Power	KB Financial Group	0.02347865699527153
FBN Holdings	Seven & I Holdings	0.06069066607079216
Keiyo Bank	Aozora Bank	0.049432953171361496
Daishi Bank	Yamanashi Chuo Bank	0.05334731451783342
Wistron	Samsung SDS	0.02408510417140748
Beijing Xinwei Telecom Technology Group	China Communications Construction	0.15311820435375897
Meritz Financial Group	KB Financial Group	0.3800812660739754
Everest Re Group	Michelin Group	0.0489104670239283
Nidec	JGC	0.024708238249800823
Helmerich & Payne	Johnson Matthey	0.07809114028420279
Latam Airlines	China Southern Airlines	0.0244364943729627
China Railway Group	Taiwan Cooperative Financial	0.02425876595729466
American Financial Group	Beijing Xinwei Telecom Technology Group	0.025049020964534617
Industrial Bank	Chinatrust Financial	0.024824490456476857
Dalian Wanda Commercial Properties	Hysan Development	0.0737273098591482
Osaka Gas	Spectra Energy	0.025114526764532484
Sumitomo Electric	Taisei	0.050369534019980206
Industrial Alliance Insurance	China National Materials	0.02991404582311829
Hormel Foods	JM Smucker	0.024129238800203512
Annaly Capital Management	CYS Investments	0.12251387856931699
Sojitz	Tokyo Gas	0.025551334098686082
Sumitomo Mitsui Trust	Dongbu Insurance	0.022477201955237187
Metcash	Stockland Australia	0.05512432373399972
